"filename","title","keywords","descriptionen","descriptioncymraeg","facebooktitle","facebookdescription","facebookimage","facebookurl","whatnewenglish","whatnewcymraeg","datelastmodified","htmlcode"
"/lyrics/cwrdd.html","Cwrdd
","Y Cyrff, Cwrdd lyrics, Y Cyrff lyrics
","One of the only website about Y Cyrff.
","Un o o'r unig we safle am Y Cyrff.","Cwrdd
","One of the only website about Y Cyrff.
",NULL,NULL,NULL,NULL,"2012-08-15 21:33:28",
"/lyrics/index.html","Lyrics/ Geiriau
","Y Cyrff, Y Cyrff Lyrics
","One of the only website about Y Cyrff.
","Un o o'r unig we safle am Y Cyrff.","Lyrics/ Geiriau
","One of the only website about Y Cyrff.
",NULL,NULL,NULL,NULL,"2012-08-15 21:33:29",
"/lyrics/pethauachlysurol.html","Pethau Achlysurol
","Y Cyrff, Pethau Achlysurol lyrics, Y Cyrff lyrics
","One of the only website about Y Cyrff. 
","Un o o'r unig we safle am Y Cyrff.","Pethau Achlysurol
","One of the only website about Y Cyrff. 
",NULL,NULL,NULL,NULL,"2012-08-15 21:33:30",
"/lyrics/ydeffro.html","Y Deffro
","Y Cyrff, Y Deffro lyrics, Y Cyrff lyrics
","One of the only website about Y Cyrff.
","Un o o'r unig we safle am Y Cyrff.","Y Deffro
","One of the only website about Y Cyrff.
",NULL,NULL,NULL,NULL,"2012-08-15 21:33:30",
"/lyrics/hwylfawrheulwen.html","Hwyl Fawr Heulwen
","Y Cyrff, Hwyl Fawr Heulwen lyrics, Y Cyrff lyrics
","One of the only website about Y Cyrff. 
","Un o o'r unig we safle am Y Cyrff.","Hwyl Fawr Heulwen
","One of the only website about Y Cyrff. 
",NULL,NULL,NULL,NULL,"2012-08-15 21:33:29",
"/lyrics/llawenyddhebddiwedd.html","LLawenydd Heb DDiwedd
","Y Cyrff, LLawenydd Heb DDiwedd lyrics, Y Cyrff lyrics
","One of the only website about Y Cyrff.
","Un o o'r unig we safle am Y Cyrff.","LLawenydd Heb DDiwedd
","One of the only website about Y Cyrff.
",NULL,NULL,NULL,NULL,"2012-08-15 21:33:29",
"/lyrics/cymrulloegrallanrwst.html","Cymru, LLoegr a LLanrwst
","Y Cyrff, Cymru LLoegr a LLanrwst lyrics, Y Cyrff lyrics
","One of the only website about Y Cyrff.
","Un o o'r unig we safle am Y Cyrff.","Cymru, LLoegr a LLanrwst
","One of the only website about Y Cyrff.
",NULL,NULL,NULL,NULL,"2012-08-15 21:33:28",
"/news/mwycracnagerioed.html","Mwy CRAC Nag Erioed...
","Y Cyrff, Mwy CRAC Nag Erioed, LLwybr LLaethog, LLanrwst, John Griffiths, Mark Roberts, Y Cyrff news
","One of the only website about Y Cyrff.
","Un o o'r unig we safle am Y Cyrff.","Mwy CRAC Nag Erioed...
","One of the only website about Y Cyrff.
",NULL,NULL,NULL,NULL,"2012-08-15 22:31:06",
"/news/yffyrcamroiprocbacharall.html","Y FFyrc Am Roi Proc Bach Arall
","Y Cyrff, Y FFyrc Am Roi Proc Bach Arall, Mark Roberts, Toni Schiavone, Sherbet Antlers, Catatonia, Y FFyrc
","One of the only website about Y Cyrff.
","Un o o'r unig we safle am Y Cyrff.","Y FFyrc Am Roi Proc Bach Arall
","One of the only website about Y Cyrff.
",NULL,NULL,NULL,NULL,"2012-08-15 22:31:06",
"/news/boxset.html",,"Y Cyrff, box set, atalnod
","One of the only website about Y Cyrff.
","Un o o'r unig we safle am Y Cyrff.",,"One of the only website about Y Cyrff.
",NULL,NULL,NULL,NULL,"2012-08-15 22:31:05",
"/news/bbcdoc.html","Rhaglen ar C2 - 02/05/2012
","Y Cyrff, box set, atalnod
","One of the only website about Y Cyrff.
","Un o o'r unig we safle am Y Cyrff.","Rhaglen ar C2 - 02/05/2012
","One of the only website about Y Cyrff.
",NULL,NULL,NULL,NULL,"2012-08-15 22:31:04",
"/news/fourletterwordthatbannedsong.html","Four-letter word that banned song
","Y Cyrff, Radio Cymru, Barry Cawley, Dylan Hughes, Paul Jones, Mark Roberts
","One of the only website about Y Cyrff.
","Un o o'r unig we safle am Y Cyrff.","Four-letter word that banned song
","One of the only website about Y Cyrff.
",NULL,NULL,NULL,NULL,"2012-08-15 22:31:06",
"/news/documentaryonc2.html","Rhaglen ar C2
","Y Cyrff, C2, Mark Roberts, Paul Jones
","One of the only website about Y Cyrff.
","Un o o'r unig we safle am Y Cyrff.","Rhaglen ar C2
","One of the only website about Y Cyrff.
",NULL,NULL,NULL,NULL,"2012-08-15 22:31:05",
"/news/index.html","News Articles/ Erthyglau Newyddion
","Y Cyrff, Y Cyrff news
","One of the only website about Y Cyrff.
","Un o o'r unig we safle am Y Cyrff.","News Articles/ Erthyglau Newyddion
","One of the only website about Y Cyrff.
",NULL,NULL,NULL,NULL,"2012-08-15 22:31:06",
"/news/cymru.html","Cymru, LLoegr a LLanrwst
","Y Cyrff, Atalnod LLawn, Cymru LLoegr a LLanrwst Tour, Alun Tan Lan, Kentucky AFC, Maharishi, Dan Amor, Jen Jeniro, Mark Roberts, Paul Jones, C2
","One of the only website about Y Cyrff.
","Un o o'r unig we safle am Y Cyrff.","Cymru, LLoegr a LLanrwst
","One of the only website about Y Cyrff.
",NULL,NULL,NULL,NULL,"2012-08-15 22:31:05",
"/news/bandit.html",,"Y Cyrff, Bandit, S4C, Mark Roberts, Paul Jones, Cymru LLoegr a LLanrwst Tour
","One of the only website about Y Cyrff.
","Un o o'r unig we safle am Y Cyrff.",,"One of the only website about Y Cyrff.
",NULL,NULL,NULL,NULL,"2012-08-15 22:31:04",
"/profiles/llewelynrichardsprofile.html","LLewelyn Richards Profile/Proffeil LLewelyn Richard
","Y Cyrff, LLewelyn Richards Profile
","One of the only website about Y Cyrff. 
","Un o o'r unig we safle am Y Cyrff.","LLewelyn Richards Profile/Proffeil LLewelyn Richard
","One of the only website about Y Cyrff. 
",NULL,NULL,NULL,NULL,"2012-08-18 20:50:13",
"/profiles/index.html","Profiles/Proffeilau
","Y Cyrff, Profiles
","One of the only website about Y Cyrff. 
","Un o o'r unig we safle am Y Cyrff.","Profiles/Proffeilau
","One of the only website about Y Cyrff. 
",NULL,NULL,NULL,NULL,"2012-08-18 20:50:15",
"/profiles/submitprofile.php","Submit a Profile/Anfon proffeil
","Y Cyrff, Submit Profile
","One of the only website about Y Cyrff. 
","Un o o'r unig we safle am Y Cyrff.","Submit a Profile/Anfon proffeil
","One of the only website about Y Cyrff. 
",NULL,NULL,NULL,NULL,"2012-08-18 20:50:15",
"/reviews/rifiwbuzz.html","Rifiw Buzz
","Y Cyrff, Rifiw Buzz, LLwybr LLaethog, LLanrwst, Y Cyrff and LLwybr LLaethog review
","One of the only website about Y Cyrff.
","Un o o'r unig we safle am Y Cyrff.","Rifiw Buzz
","One of the only website about Y Cyrff.
",NULL,NULL,NULL,NULL,"2012-08-14 08:34:24",
"/reviews/index.html","Reviews / Adolygiadau 
","Y Cyrff, Y Cyrff reviews
","One of the only website about Y Cyrff.
","Un o o'r unig we safle am Y Cyrff.","Reviews / Adolygiadau 
","One of the only website about Y Cyrff.
",NULL,NULL,NULL,NULL,"2012-08-14 08:34:24",
"/reviews/atalnodllawnr.html","Atalnod LLawn
","Y Cyrff, Atalnod LLawn
","A review about Atalnod LLawn.","Adolygiad am Atalnod LLawn.","Atalnod LLawn
","A review about Atalnod LLawn. / Adolygiad am Atalnod LLawn.","http://www.ycyrffgroupie.co.uk/images/rasal12.jpg",NULL,"Added to the database",NULL,"2012-08-14 08:34:24",
